ID_POLIGONO,method,predicted,x_support_score,x_support_tier,siap_prior_yield,siap_prior_source
AGC_003,Baseline_Local04D,3.6192185647956245,0.2119565217391304,low,1.8788014311270125,exact_2025
AGC_011,Baseline_Local04D,4.749113091617427,0.6557971014492754,mid,3.22,exact_2025
AGC_016,Baseline_Local04D,4.495977252239017,0.3351449275362319,mid,3.22,exact_2025
AGC_025,Baseline_Local04D,2.9652799378527375,0.5054347826086957,mid,4.0,exact_2025
AGC_027,Baseline_Local04D,2.919604945611774,0.302536231884058,low,4.0,exact_2025
AGC_028,Baseline_Local04D,4.75966606096224,0.3713768115942029,mid,3.22,exact_2025
AGC_029,Baseline_Local04D,3.117418717547569,0.0778985507246376,low,4.0,exact_2025
AGC_030,Baseline_Local04D,3.1412976283859706,0.2916666666666667,low,1.8788014311270125,exact_2025
AGC_031,Baseline_Local04D,4.152739394644058,0.4021739130434782,mid,3.22,exact_2025
AGC_036,Baseline_Local04D,4.381511119824207,0.2771739130434783,low,3.22,exact_2025
AGC_039,Baseline_Local04D,2.8784910751063437,0.608695652173913,mid,4.0,exact_2025
AGC_042,Baseline_Local04D,3.054654035507886,0.5615942028985507,mid,1.8788014311270125,exact_2025
AGC_043,Baseline_Local04D,4.385614440322078,0.2101449275362319,low,3.22,exact_2025
AGC_050,Baseline_Local04D,2.9575212244529263,0.6177536231884058,mid,4.0,exact_2025
AGC_052,Baseline_Local04D,4.513074748991413,0.4963768115942029,mid,2.3500005816997267,exact_2025
AGC_061,Baseline_Local04D,2.930974196064695,0.2282608695652173,low,4.0,exact_2025
AGC_063,Baseline_Local04D,4.277951962785182,0.1829710144927536,low,3.22,exact_2025
AGC_065,Baseline_Local04D,4.457068420133928,0.3115942028985507,low,1.909999825577499,exact_2025
AGC_071,Baseline_Local04D,3.0887205337185084,0.5561594202898551,mid,4.0,exact_2025
AGC_075,Baseline_Local04D,3.029695165825939,0.302536231884058,low,4.0,exact_2025
AGC_076,Baseline_Local04D,4.442814605232269,0.2681159420289855,low,3.22,exact_2025
AGC_082,Baseline_Local04D,4.449122188212781,0.3405797101449275,mid,1.909999825577499,exact_2025
AGC_085,Baseline_Local04D,4.028176684883299,0.378623188405797,mid,3.22,exact_2025
