ID_POLIGONO,cvegeo,siap_exact_2025_yield,siap_exact_2025_reported_yield,siap_exact_2025_harvested_ha,siap_exact_2025_production_t,siap_exact_2025_damage_rate,siap_exact_2025_rows,siap_cycle_allmode_2025_yield,siap_cycle_allmode_2025_reported_yield,siap_cycle_allmode_2025_harvested_ha,siap_cycle_allmode_2025_production_t,siap_cycle_allmode_2025_damage_rate,siap_cycle_allmode_2025_rows,siap_temporal_allcycle_2025_yield,siap_temporal_allcycle_2025_reported_yield,siap_temporal_allcycle_2025_harvested_ha,siap_temporal_allcycle_2025_production_t,siap_temporal_allcycle_2025_damage_rate,siap_temporal_allcycle_2025_rows,siap_allgrain_2025_yield,siap_allgrain_2025_reported_yield,siap_allgrain_2025_harvested_ha,siap_allgrain_2025_production_t,siap_allgrain_2025_damage_rate,siap_allgrain_2025_rows,siap_exact_hist_mean,siap_exact_hist_std,siap_exact_hist_trend,siap_exact_hist_years,siap_allgrain_hist_mean,siap_allgrain_hist_std,siap_allgrain_hist_trend,siap_allgrain_hist_years,siap_prior_yield,siap_prior_source,siap_exact_reported_minus_recomputed,CONJUNTO,RENDIMIENTO_T_HA,meta_estado,meta_municipio
AGC_001,29006,4.0,4.0,14720.0,58880.0,0.0,1.0,4.0,4.0,14720.0,58880.0,0.0,1.0,4.0,4.0,14720.0,58880.0,0.0,1.0,4.0,4.0,14720.0,58880.0,0.0,1.0,2.537181186208829,0.1445599030008825,0.030406878664165204,10,2.537181186208829,0.1445599030008825,0.030406878664165204,10,4.0,exact_2025,0.0,ENTRENAMIENTO,3.5,Tlaxcala,Calpulalpan
AGC_002,21053,3.22,3.22,7300.0,23506.0,0.0,1.0,3.22,3.22,7300.0,23506.0,0.0,1.0,3.22,3.22,7300.0,23506.0,0.0,1.0,3.22,3.22,7300.0,23506.0,0.0,1.0,2.780999890506274,0.37745062133259083,0.12212118976918164,10,2.780999890506274,0.37745062133259083,0.12212118976918164,10,3.22,exact_2025,0.0,ENTRENAMIENTO,4.63,Puebla,Chignahuapan
AGC_003,13057,1.8788014311270125,1.88,11180.0,21005.0,0.0,1.0,1.8788014311270125,1.88,11180.0,21005.0,0.0,1.0,1.8788014311270125,1.88,11180.0,21005.0,0.0,1.0,1.8788014311270125,1.88,11180.0,21005.0,0.0,1.0,2.772624266351358,0.542032748360846,-0.11536209571284574,10,2.772624266351358,0.542032748360846,-0.11536209571284574,10,1.8788014311270125,exact_2025,0.0011985688729874155,PREDICCION,,Hidalgo,Singuilucan
AGC_004,29006,4.0,4.0,14720.0,58880.0,0.0,1.0,4.0,4.0,14720.0,58880.0,0.0,1.0,4.0,4.0,14720.0,58880.0,0.0,1.0,4.0,4.0,14720.0,58880.0,0.0,1.0,2.537181186208829,0.1445599030008825,0.030406878664165204,10,2.537181186208829,0.1445599030008825,0.030406878664165204,10,4.0,exact_2025,0.0,ENTRENAMIENTO,3.0,Tlaxcala,Calpulalpan
AGC_005,21053,3.22,3.22,7300.0,23506.0,0.0,1.0,3.22,3.22,7300.0,23506.0,0.0,1.0,3.22,3.22,7300.0,23506.0,0.0,1.0,3.22,3.22,7300.0,23506.0,0.0,1.0,2.780999890506274,0.37745062133259083,0.12212118976918164,10,2.780999890506274,0.37745062133259083,0.12212118976918164,10,3.22,exact_2025,0.0,ENTRENAMIENTO,5.16,Puebla,Chignahuapan
AGC_006,21053,3.22,3.22,7300.0,23506.0,0.0,1.0,3.22,3.22,7300.0,23506.0,0.0,1.0,3.22,3.22,7300.0,23506.0,0.0,1.0,3.22,3.22,7300.0,23506.0,0.0,1.0,2.780999890506274,0.37745062133259083,0.12212118976918164,10,2.780999890506274,0.37745062133259083,0.12212118976918164,10,3.22,exact_2025,0.0,ENTRENAMIENTO,4.49,Puebla,Chignahuapan
AGC_007,13057,1.8788014311270125,1.88,11180.0,21005.0,0.0,1.0,1.8788014311270125,1.88,11180.0,21005.0,0.0,1.0,1.8788014311270125,1.88,11180.0,21005.0,0.0,1.0,1.8788014311270125,1.88,11180.0,21005.0,0.0,1.0,2.772624266351358,0.542032748360846,-0.11536209571284574,10,2.772624266351358,0.542032748360846,-0.11536209571284574,10,1.8788014311270125,exact_2025,0.0011985688729874155,ENTRENAMIENTO,3.5,Hidalgo,Singuilucan
AGC_008,21053,3.22,3.22,7300.0,23506.0,0.0,1.0,3.22,3.22,7300.0,23506.0,0.0,1.0,3.22,3.22,7300.0,23506.0,0.0,1.0,3.22,3.22,7300.0,23506.0,0.0,1.0,2.780999890506274,0.37745062133259083,0.12212118976918164,10,2.780999890506274,0.37745062133259083,0.12212118976918164,10,3.22,exact_2025,0.0,ENTRENAMIENTO,4.55,Puebla,Chignahuapan
AGC_009,13016,2.3500005816997267,2.35,8595.5,20199.43,0.0,1.0,2.3500005816997267,2.35,8595.5,20199.43,0.0,1.0,2.3500005816997267,2.35,8595.5,20199.43,0.0,1.0,2.3500005816997267,2.35,8595.5,20199.43,0.0,1.0,2.748596873151876,0.46023452589845526,-0.07391144919123277,10,2.748596873151876,0.46023452589845526,-0.07391144919123277,10,2.3500005816997267,exact_2025,-5.816997266094859e-07,ENTRENAMIENTO,4.79,Hidalgo,Cuautepec de Hinojosa
AGC_010,21053,3.22,3.22,7300.0,23506.0,0.0,1.0,3.22,3.22,7300.0,23506.0,0.0,1.0,3.22,3.22,7300.0,23506.0,0.0,1.0,3.22,3.22,7300.0,23506.0,0.0,1.0,2.780999890506274,0.37745062133259083,0.12212118976918164,10,2.780999890506274,0.37745062133259083,0.12212118976918164,10,3.22,exact_2025,0.0,ENTRENAMIENTO,4.1,Puebla,Chignahuapan
AGC_011,21053,3.22,3.22,7300.0,23506.0,0.0,1.0,3.22,3.22,7300.0,23506.0,0.0,1.0,3.22,3.22,7300.0,23506.0,0.0,1.0,3.22,3.22,7300.0,23506.0,0.0,1.0,2.780999890506274,0.37745062133259083,0.12212118976918164,10,2.780999890506274,0.37745062133259083,0.12212118976918164,10,3.22,exact_2025,0.0,PREDICCION,,Puebla,Chignahuapan
AGC_012,21053,3.22,3.22,7300.0,23506.0,0.0,1.0,3.22,3.22,7300.0,23506.0,0.0,1.0,3.22,3.22,7300.0,23506.0,0.0,1.0,3.22,3.22,7300.0,23506.0,0.0,1.0,2.780999890506274,0.37745062133259083,0.12212118976918164,10,2.780999890506274,0.37745062133259083,0.12212118976918164,10,3.22,exact_2025,0.0,ENTRENAMIENTO,4.69,Puebla,Chignahuapan
AGC_013,21053,3.22,3.22,7300.0,23506.0,0.0,1.0,3.22,3.22,7300.0,23506.0,0.0,1.0,3.22,3.22,7300.0,23506.0,0.0,1.0,3.22,3.22,7300.0,23506.0,0.0,1.0,2.780999890506274,0.37745062133259083,0.12212118976918164,10,2.780999890506274,0.37745062133259083,0.12212118976918164,10,3.22,exact_2025,0.0,ENTRENAMIENTO,4.01,Puebla,Chignahuapan
AGC_014,21053,3.22,3.22,7300.0,23506.0,0.0,1.0,3.22,3.22,7300.0,23506.0,0.0,1.0,3.22,3.22,7300.0,23506.0,0.0,1.0,3.22,3.22,7300.0,23506.0,0.0,1.0,2.780999890506274,0.37745062133259083,0.12212118976918164,10,2.780999890506274,0.37745062133259083,0.12212118976918164,10,3.22,exact_2025,0.0,ENTRENAMIENTO,4.83,Puebla,Chignahuapan
AGC_015,21053,3.22,3.22,7300.0,23506.0,0.0,1.0,3.22,3.22,7300.0,23506.0,0.0,1.0,3.22,3.22,7300.0,23506.0,0.0,1.0,3.22,3.22,7300.0,23506.0,0.0,1.0,2.780999890506274,0.37745062133259083,0.12212118976918164,10,2.780999890506274,0.37745062133259083,0.12212118976918164,10,3.22,exact_2025,0.0,ENTRENAMIENTO,2.64,Puebla,Chignahuapan
AGC_016,21053,3.22,3.22,7300.0,23506.0,0.0,1.0,3.22,3.22,7300.0,23506.0,0.0,1.0,3.22,3.22,7300.0,23506.0,0.0,1.0,3.22,3.22,7300.0,23506.0,0.0,1.0,2.780999890506274,0.37745062133259083,0.12212118976918164,10,2.780999890506274,0.37745062133259083,0.12212118976918164,10,3.22,exact_2025,0.0,PREDICCION,,Puebla,Chignahuapan
AGC_017,21053,3.22,3.22,7300.0,23506.0,0.0,1.0,3.22,3.22,7300.0,23506.0,0.0,1.0,3.22,3.22,7300.0,23506.0,0.0,1.0,3.22,3.22,7300.0,23506.0,0.0,1.0,2.780999890506274,0.37745062133259083,0.12212118976918164,10,2.780999890506274,0.37745062133259083,0.12212118976918164,10,3.22,exact_2025,0.0,ENTRENAMIENTO,4.98,Puebla,Chignahuapan
AGC_018,21053,3.22,3.22,7300.0,23506.0,0.0,1.0,3.22,3.22,7300.0,23506.0,0.0,1.0,3.22,3.22,7300.0,23506.0,0.0,1.0,3.22,3.22,7300.0,23506.0,0.0,1.0,2.780999890506274,0.37745062133259083,0.12212118976918164,10,2.780999890506274,0.37745062133259083,0.12212118976918164,10,3.22,exact_2025,0.0,ENTRENAMIENTO,4.49,Puebla,Chignahuapan
