ID_POLIGONO,method,predicted
AGC_003,CatBoost_C1_d4_lr003_l2_3,3.4841467911430755
AGC_011,CatBoost_C1_d4_lr003_l2_3,4.512620614487257
AGC_016,CatBoost_C1_d4_lr003_l2_3,4.029811371805413
AGC_025,CatBoost_C1_d4_lr003_l2_3,3.1000656375482927
AGC_027,CatBoost_C1_d4_lr003_l2_3,3.0959198539218655
AGC_028,CatBoost_C1_d4_lr003_l2_3,4.678837017751756
AGC_029,CatBoost_C1_d4_lr003_l2_3,2.9779991647073984
AGC_030,CatBoost_C1_d4_lr003_l2_3,3.3674014515001622
AGC_031,CatBoost_C1_d4_lr003_l2_3,4.456210914311176
AGC_036,CatBoost_C1_d4_lr003_l2_3,4.278211902604046
AGC_039,CatBoost_C1_d4_lr003_l2_3,2.86359237094265
AGC_042,CatBoost_C1_d4_lr003_l2_3,3.0056930733043523
AGC_043,CatBoost_C1_d4_lr003_l2_3,4.496644057264878
AGC_050,CatBoost_C1_d4_lr003_l2_3,2.9840963833504097
AGC_052,CatBoost_C1_d4_lr003_l2_3,4.454087983241379
AGC_061,CatBoost_C1_d4_lr003_l2_3,2.799465868162315
AGC_063,CatBoost_C1_d4_lr003_l2_3,4.263259806487213
AGC_065,CatBoost_C1_d4_lr003_l2_3,4.451228664200168
AGC_071,CatBoost_C1_d4_lr003_l2_3,3.037193370699015
AGC_075,CatBoost_C1_d4_lr003_l2_3,2.991126321131181
AGC_076,CatBoost_C1_d4_lr003_l2_3,4.37028655965355
AGC_082,CatBoost_C1_d4_lr003_l2_3,4.281434573902136
AGC_085,CatBoost_C1_d4_lr003_l2_3,4.088393839142181
AGC_086,CatBoost_C1_d4_lr003_l2_3,3.2177228527446764
AGC_087,CatBoost_C1_d4_lr003_l2_3,2.7841756518009078
AGC_088,CatBoost_C1_d4_lr003_l2_3,4.214115723506818
AGC_091,CatBoost_C1_d4_lr003_l2_3,4.597959317986503
AGC_093,CatBoost_C1_d4_lr003_l2_3,2.886500749505103
AGC_094,CatBoost_C1_d4_lr003_l2_3,4.758652927131455
AGC_095,CatBoost_C1_d4_lr003_l2_3,4.447973214627083
AGC_107,CatBoost_C1_d4_lr003_l2_3,4.592693368687226
AGC_113,CatBoost_C1_d4_lr003_l2_3,2.9111689933896137
AGC_116,CatBoost_C1_d4_lr003_l2_3,4.630170089238997
AGC_118,CatBoost_C1_d4_lr003_l2_3,3.2736592346793714
AGC_120,CatBoost_C1_d4_lr003_l2_3,3.7482367163033055
AGC_126,CatBoost_C1_d4_lr003_l2_3,4.2888213002662114
AGC_128,CatBoost_C1_d4_lr003_l2_3,4.374138170682651
AGC_129,CatBoost_C1_d4_lr003_l2_3,3.5862570305909762
AGC_130,CatBoost_C1_d4_lr003_l2_3,4.3929218978100835
AGC_136,CatBoost_C1_d4_lr003_l2_3,4.341002104709484
AGC_142,CatBoost_C1_d4_lr003_l2_3,4.6008755757093285
AGC_143,CatBoost_C1_d4_lr003_l2_3,4.162144213277543
AGC_147,CatBoost_C1_d4_lr003_l2_3,3.2170881478168667
AGC_149,CatBoost_C1_d4_lr003_l2_3,4.51670996570427
AGC_153,CatBoost_C1_d4_lr003_l2_3,4.116596463965607
AGC_154,CatBoost_C1_d4_lr003_l2_3,4.585159591344866
AGC_156,CatBoost_C1_d4_lr003_l2_3,2.996193200047628
AGC_158,CatBoost_C1_d4_lr003_l2_3,4.269773072027424
AGC_173,CatBoost_C1_d4_lr003_l2_3,3.6376220002015693
AGC_174,CatBoost_C1_d4_lr003_l2_3,4.229098494985844
AGC_175,CatBoost_C1_d4_lr003_l2_3,4.386300203078998
AGC_177,CatBoost_C1_d4_lr003_l2_3,3.797499621647153
AGC_182,CatBoost_C1_d4_lr003_l2_3,4.537986757906007
AGC_183,CatBoost_C1_d4_lr003_l2_3,2.9143388256920084
AGC_186,CatBoost_C1_d4_lr003_l2_3,4.366010219354014
AGC_188,CatBoost_C1_d4_lr003_l2_3,4.332777405118279
AGC_190,CatBoost_C1_d4_lr003_l2_3,4.286616384996402
AGC_191,CatBoost_C1_d4_lr003_l2_3,4.89212322510222
AGC_192,CatBoost_C1_d4_lr003_l2_3,4.6373721393185106
