ID_POLIGONO,fecha_captura,sensor,ndvi_promedio,ndvi_std,ndvi_max,ndvi_min,evi_promedio,evi_std,evi_max,evi_min,crc_promedio,crc_std,crc_max,crc_min,mcrc_promedio,mcrc_std,mcrc_max,mcrc_min,ndsvi_promedio,ndsvi_std,ndsvi_max,ndsvi_min,srndi_promedio,srndi_std,srndi_max,srndi_min,mra_promedio,mra_std,mra_max,mra_min,lai_promedio,lai_std,lai_max,lai_min,fapar_promedio,fapar_std,fapar_max,fapar_min,savi_promedio,savi_std,savi_max,savi_min,vi6t_promedio,vi6t_std,vi6t_max,vi6t_min,ndti_promedio,ndti_std,ndti_max,ndti_min,sti_promedio,sti_std,sti_max,sti_min,ndwi_promedio,ndwi_std,ndwi_max,ndwi_min,endwi_promedio,endwi_std,endwi_max,endwi_min,msi_promedio,msi_std,msi_max,msi_min,emsi_promedio,emsi_std,emsi_max,emsi_min,dswi2_promedio,dswi2_std,dswi2_max,dswi2_min,dswi3_promedio,dswi3_std,dswi3_max,dswi3_min,dswi4_promedio,dswi4_std,dswi4_max,dswi4_min,dswi5_promedio,dswi5_std,dswi5_max,dswi5_min,nddi_promedio,nddi_std,nddi_max,nddi_min,enddi_promedio,enddi_std,enddi_max,enddi_min,porcentaje_nubosidad
AGC_005,01/01/2022,Sentinel-2,0.21,0.055,0.408,0.141,0.128,0.037,0.25,0.086,0.472,0.03,0.547,0.384,0.502,0.034,0.584,0.389,0.436,0.042,0.558,0.309,0.347,0.062,0.473,0.156,0.022,0.0,0.023,0.021,0.016,0.057,0.216,-0.049,0.077,0.054,0.262,0.023,0.108,0.029,0.205,0.073,,,,,0.105,0.031,0.199,0.055,1.238,0.079,1.497,1.117,-0.248,0.059,-0.062,-0.361,-0.147,0.089,0.082,-0.279,1.677,0.204,2.13,1.132,1.369,0.238,1.773,0.849,3.037,0.264,3.807,2.271,2.568,0.261,3.521,1.893,0.845,0.045,1.088,0.763,0.672,0.063,0.871,0.552,0.175,0.04,0.24,0.068,0.235,0.028,0.297,0.146,0.0
AGC_005,06/11/2025,Landsat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.615,0.024,-0.568,-0.658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
AGC_005,13/05/2025,Landsat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.611,0.008,-0.6,-0.626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
AGC_005,19/06/2024,Landsat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0
AGC_005,25/06/2022,Sentinel-2,0.214,0.065,0.454,0.147,0.171,0.059,0.389,0.115,0.464,0.031,0.508,0.383,0.482,0.036,0.532,0.384,0.433,0.036,0.495,0.325,0.369,0.053,0.444,0.23,0.022,0.001,0.024,0.021,0.063,0.089,0.412,-0.018,0.104,0.066,0.294,0.042,0.131,0.042,0.284,0.09,,,,,0.076,0.027,0.161,0.038,1.166,0.066,1.383,1.079,-0.24,0.074,-0.045,-0.328,-0.167,0.102,0.093,-0.284,1.655,0.243,1.978,1.094,1.435,0.275,1.794,0.83,2.879,0.259,3.272,2.245,2.541,0.214,2.961,1.965,0.884,0.047,1.071,0.828,0.693,0.085,0.954,0.598,0.189,0.039,0.246,0.102,0.231,0.028,0.272,0.155,0.0
AGC_005,31/12/2025,Landsat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.609,0.02,-0.579,-0.648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
AGC_034,01/01/2022,Sentinel-2,0.215,0.066,0.56,0.132,0.141,0.055,0.392,0.079,0.382,0.052,0.503,0.301,0.376,0.051,0.536,0.283,0.286,0.061,0.557,0.191,0.173,0.046,0.362,0.063,0.022,0.001,0.027,0.021,0.049,0.093,0.484,-0.057,0.157,0.059,0.438,0.048,0.124,0.045,0.31,0.069,,,,,0.12,0.041,0.244,0.066,1.277,0.112,1.646,1.142,-0.076,0.052,0.152,-0.227,0.043,0.074,0.364,-0.145,1.172,0.123,1.587,0.737,0.926,0.134,1.338,0.467,2.23,0.279,3.309,1.79,1.825,0.268,3.516,1.473,0.818,0.041,1.159,0.704,0.845,0.066,1.23,0.697,0.076,0.022,0.16,0.025,0.136,0.029,0.253,0.087,0.0
AGC_034,06/11/2024,Sentinel-2,0.336,0.084,0.639,0.224,0.263,0.087,0.586,0.154,0.364,0.025,0.455,0.309,0.361,0.024,0.43,0.279,0.332,0.055,0.522,0.23,0.09,0.061,0.27,-0.015,0.025,0.001,0.03,0.023,0.231,0.152,0.882,0.054,0.318,0.081,0.595,0.19,0.208,0.06,0.426,0.128,,,,,0.25,0.017,0.312,0.184,1.667,0.06,1.908,1.45,0.007,0.055,0.211,-0.113,0.255,0.063,0.491,0.072,0.993,0.104,1.255,0.651,0.597,0.077,0.865,0.341,2.134,0.121,2.509,1.772,2.016,0.272,3.186,1.598,0.942,0.087,1.346,0.799,0.993,0.104,1.444,0.838,0.031,0.019,0.079,-0.005,0.14,0.018,0.189,0.095,0.0
AGC_034,13/08/2024,Sentinel-2,0.635,0.105,0.84,0.364,0.532,0.219,0.975,0.14,0.167,0.222,0.415,-0.249,0.164,0.158,0.363,-0.161,0.355,0.135,0.577,0.054,0.046,0.157,0.295,-0.317,0.034,0.003,0.041,0.027,0.867,0.62,3.323,0.011,0.598,0.171,0.928,0.232,0.382,0.148,0.661,0.106,,,,,0.321,0.041,0.419,0.223,1.956,0.178,2.445,1.573,0.37,0.086,0.655,0.106,0.613,0.088,0.837,0.334,0.466,0.096,0.808,0.208,0.244,0.071,0.499,0.089,1.472,0.416,2.141,0.722,2.235,0.646,3.729,1.114,1.536,0.201,2.07,0.959,2.005,0.355,3.976,1.203,0.007,0.029,0.055,-0.065,0.088,0.031,0.148,0.017,0.9009009009009008
AGC_034,19/02/2025,Sentinel-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0
