ID_POLIGONO,x_support_score,x_support_tier,selected_method,candidate_prediction
AGC_003,0.2119565217391304,low,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,3.6192185647956245
AGC_011,0.6557971014492754,mid,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,4.749113091617427
AGC_016,0.3351449275362319,mid,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,4.495977252239017
AGC_025,0.5054347826086957,mid,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,2.9652799378527375
AGC_027,0.302536231884058,low,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,2.919604945611774
AGC_028,0.3713768115942029,mid,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,4.75966606096224
AGC_029,0.0778985507246376,low,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,3.117418717547569
AGC_030,0.2916666666666667,low,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,3.1412976283859706
AGC_031,0.4021739130434782,mid,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,4.152739394644058
AGC_036,0.2771739130434783,low,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,4.381511119824207
AGC_039,0.608695652173913,mid,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,2.8784910751063437
AGC_042,0.5615942028985507,mid,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,3.054654035507886
AGC_043,0.2101449275362319,low,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,4.385614440322078
AGC_050,0.6177536231884058,mid,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,2.9575212244529263
AGC_052,0.4963768115942029,mid,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,4.513074748991413
AGC_061,0.2282608695652173,low,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,2.930974196064695
AGC_063,0.1829710144927536,low,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,4.277951962785182
AGC_065,0.3115942028985507,low,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,4.457068420133928
AGC_071,0.5561594202898551,mid,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,3.0887205337185084
