ID_POLIGONO,CONJUNTO,adversarial_oof_target_probability,adversarial_full_target_probability
AGC_001,ENTRENAMIENTO,0.7693722399658732,0.725243012447724
AGC_002,ENTRENAMIENTO,0.9454682088988681,0.8345604586199414
AGC_003,PREDICCION,0.32859952305732637,0.6657323621749495
AGC_004,ENTRENAMIENTO,0.3712450211652671,0.3615773515517007
AGC_005,ENTRENAMIENTO,0.3625352985355442,0.3160731313992925
AGC_006,ENTRENAMIENTO,0.43729777755456745,0.4053471594535173
AGC_007,ENTRENAMIENTO,0.41455155267561594,0.42558167767664895
AGC_008,ENTRENAMIENTO,0.4796371551679607,0.4095176506162057
AGC_009,ENTRENAMIENTO,0.9784519667685235,0.83129046827903
AGC_010,ENTRENAMIENTO,0.7092148707738472,0.6484389224877919
AGC_011,PREDICCION,0.2978914143098995,0.3088981165592236
AGC_012,ENTRENAMIENTO,0.27836253723948495,0.2690806369789758
AGC_013,ENTRENAMIENTO,0.2857149166972839,0.275083583959706
AGC_014,ENTRENAMIENTO,0.7247705713646703,0.6460397014178654
AGC_015,ENTRENAMIENTO,0.5349405109083014,0.44296813571436205
AGC_016,PREDICCION,0.20468750510693115,0.7336721877957655
AGC_017,ENTRENAMIENTO,0.4740406671660874,0.41111093498933127
AGC_018,ENTRENAMIENTO,0.204783025505924,0.14836909357537964
AGC_019,ENTRENAMIENTO,0.5655755165382034,0.46078512367187596
AGC_020,ENTRENAMIENTO,0.15877761993294315,0.18480759513096146
AGC_021,ENTRENAMIENTO,0.2180371642340621,0.2330373541299044
AGC_022,ENTRENAMIENTO,0.6118138415163397,0.44810834950146894
AGC_023,ENTRENAMIENTO,0.2098775125040859,0.24846690938576757
AGC_024,ENTRENAMIENTO,0.24988319990533747,0.2994212675016811
AGC_025,PREDICCION,0.2540387051128887,0.31403260641359027
AGC_026,ENTRENAMIENTO,0.6700769351077159,0.6599203229637332
AGC_027,PREDICCION,0.3441951100653428,0.5809068254533333
AGC_028,PREDICCION,0.7375179343269047,0.8054502273738665
AGC_029,PREDICCION,0.9999898566279937,0.9779505858197545
AGC_030,PREDICCION,0.29480893245710854,0.49583080518972067
AGC_031,PREDICCION,0.7500276382984797,0.7264644289619808
AGC_032,ENTRENAMIENTO,0.05213908828111991,0.190798955145856
AGC_033,ENTRENAMIENTO,0.4384330359563414,0.3799087297831127
AGC_034,ENTRENAMIENTO,0.27292993043302377,0.35255946034949154
AGC_035,ENTRENAMIENTO,0.24800859880622295,0.5248688674723425
AGC_036,PREDICCION,0.8250090840728388,0.8213973085707504
AGC_037,ENTRENAMIENTO,0.33180507893046535,0.3675070221776885
AGC_038,ENTRENAMIENTO,0.39123409145404475,0.38235395120699206
AGC_039,PREDICCION,0.2687952627463264,0.4309390340642221
AGC_040,ENTRENAMIENTO,0.1674047001560311,0.18899627911213018
AGC_041,ENTRENAMIENTO,0.6678563676164208,0.5303658316869533
AGC_042,PREDICCION,0.3497052003615865,0.42386482124386976
AGC_043,PREDICCION,0.7300936445905137,0.7019955101648725
AGC_044,ENTRENAMIENTO,0.286082299667649,0.2056814609764188
AGC_045,ENTRENAMIENTO,0.14165052426037178,0.15136564587506646
AGC_046,ENTRENAMIENTO,0.4844203921716344,0.5645918133996473
AGC_047,ENTRENAMIENTO,0.29126881957860273,0.2969129094635515
AGC_048,ENTRENAMIENTO,0.382595613819129,0.4261030922225483
AGC_049,ENTRENAMIENTO,0.45468124636336993,0.27814353837028116
AGC_050,PREDICCION,0.20648925362416642,0.3364549630420134
AGC_051,ENTRENAMIENTO,0.6088744101635959,0.4065817569402348
AGC_052,PREDICCION,0.7051955914572681,0.6846040931700139
AGC_053,ENTRENAMIENTO,0.5950712907712681,0.5388850781492154
AGC_054,ENTRENAMIENTO,0.7904111912122732,0.6501492556755961
AGC_055,ENTRENAMIENTO,0.18778247857695113,0.304926124200702
AGC_056,ENTRENAMIENTO,0.2321660313078476,0.3192960329022822
AGC_057,ENTRENAMIENTO,0.5175650314689985,0.39153046681139886
AGC_058,ENTRENAMIENTO,0.47945712856996286,0.4223274269875341
AGC_059,ENTRENAMIENTO,0.47349350214847696,0.5404780609667856
AGC_060,ENTRENAMIENTO,0.31227568097252173,0.42935899119787024
AGC_061,PREDICCION,0.5899070330990714,0.6445229386027433
