ID_POLIGONO,Estado,Municipio,area_ha,CONJUNTO,basic_cloud_mean,basic_missing_mean,basic_sensor_count,basic_row_count,pro_cloud_mean,pro_missing_mean,pro_sensor_count,pro_row_count
AGC_020,Hidalgo,Emiliano Zapata,8.34,ENTRENAMIENTO,26.184452037242675,0.5468523105834115,2,509,28.935037974683546,0.2489451476793249,1,237
AGC_048,Tlaxcala,Nanacamilpa de Mariano Arista,8.29,ENTRENAMIENTO,27.512179799842528,0.530214424951267,2,513,27.898946280991737,0.23140495867768596,1,242
AGC_050,Tlaxcala,Calpulalpan,2.42,PREDICCION,28.056371916920423,0.546901745977405,2,508,28.114931914893617,0.2553191489361702,1,235
AGC_054,Tlaxcala,Calpulalpan,2.01,ENTRENAMIENTO,28.653184525259938,0.5353640544996963,2,501,24.78673949579832,0.21008403361344538,1,238
AGC_065,Hidalgo,Almoloya,60.88,PREDICCION,31.470964320090133,0.5239043824701195,2,502,28.589963265306125,0.17551020408163265,1,245
AGC_076,Puebla,Chignahuapan,1.01,PREDICCION,33.69837868383459,0.5678156937467521,2,502,30.555262096774193,0.25806451612903225,1,248
AGC_090,Puebla,Chignahuapan,10.98,ENTRENAMIENTO,30.793454715214533,0.5471014492753623,2,504,26.657691056910572,0.21544715447154472,1,246
AGC_108,Puebla,Chignahuapan,3.79,ENTRENAMIENTO,37.481299288951185,0.6789953439569808,2,663,37.137208333333334,0.30833333333333335,1,240
AGC_119,Hidalgo,Cuautepec de Hinojosa,0.64,ENTRENAMIENTO,37.049451164874554,0.57328190743338,2,496,31.017078512396694,0.29338842975206614,1,242
AGC_129,Hidalgo,Singuilucan,8.16,PREDICCION,36.820350197563364,0.5849264083911352,2,514,38.89664853556485,0.3263598326359833,1,239
AGC_183,Tlaxcala,Calpulalpan,7.85,PREDICCION,28.935859309410525,0.5253840145795365,2,501,25.848173553719008,0.1859504132231405,1,242
AGC_186,Puebla,Chignahuapan,11.7,PREDICCION,31.074701787068644,0.671337019351596,2,692,28.243522448979594,0.22040816326530613,1,245
